number_pattern,provider
50 xxx xx xx,Vodafone Україна
63 xxx xx xx,lifecell
66 xxx xx xx,Vodafone Україна
67 xxx xx xx,Київстар
68 xxx xx xx,Київстар
73 xxx xx xx,lifecell
89 1xx xx xx,Датагруп
89 2xx xx xx,Укртелеком
89 3xx xx xx,Global
89 4xx xx xx,O3 / mixnet
89 5xx xx xx,Линком-3000
89 6xx xx xx,Vodafone Україна
89 7xx xx xx,Київстар
89 9xx xx xx,Велтон.Телеком
91 xxx xx xx,ТриМоб
92 xxx xx xx,PEOPLEnet
93 xxx xx xx,lifecell
94 xxx xx xx,Інтертелеком
95 xxx xx xx,Vodafone Україна
96 xxx xx xx,Київстар
97 xxx xx xx,Київстар
98 xxx xx xx,Київстар
99 xxx xx xx,Vodafone Україна
